pub,label,doi
http://info.deepcarbon.net/individual/d5e17a5f5-0a04-4dc0-b43e-fc6ef9d48b79,Evidence for Microbial Carbon and Sulfur Cycling in Deeply Buried Ridge Flank Basalt,10.1126/science.1229240
http://info.deepcarbon.net/individual/dd27476f1-3cf1-439d-b890-135d1ad84bdc,Planetary science - Earth's lunar attic,10.1038/419791a
http://info.deepcarbon.net/individual/086efc07-2bf5-48a7-94f0-c5589ee666c9,"Using Water Chemistry, Isotopes and Microbiology to Evaluate Groundwater Sources, Flow Paths and Geochemical Reactions in the Death Valley Flow System, USA",10.1016/j.proeps.2013.03.033
http://info.deepcarbon.net/individual/5341b4c5-a2be-40ca-a5d8-c7d773c7d900,"Using Water Chemistry, Isotopes and Microbiology to Evaluate Groundwater Sources, Flow Paths and Geochemical Reactions in the Death Valley Flow System, USA",10.1016/j.proeps.2013.03.033
http://info.deepcarbon.net/individual/544f3c66-37e4-47ca-bc22-d0e18883ebe9,High-Pressure Photoinduced Synthesis of Polynitrogen in �� and �� Nitrogen Crystals Substitutionally Doped with CO,10.1021/jp510228t
http://info.deepcarbon.net/individual/d169c3d00-0630-42b5-9f64-e6ebaf312a7c,THE PHYSICAL BASIS OF LIFE,10.1088/0370-1298/62/9/301
http://info.deepcarbon.net/individual/d8d6aa8c0-0f47-49e8-b4a2-38fd6624e2da,"Enhanced CO2-mineral sequestration by cyclic hydraulic fracturing and Si-rich fluid infiltration into serpentinites at Malentrata (Tuscany, Italy)",10.1016/j.chemgeo.2009.03.016
http://info.deepcarbon.net/individual/d87c6cd81-d7a7-4826-921e-6056a8c3b7d2,"Climate change and energy policies, coal and coalmine methane in China",10.1016/j.enpol.2009.02.048
http://info.deepcarbon.net/individual/182fb02b-7182-43f0-ad91-7861feed0ef0,Gas chromatographic analysis of methanol and ethanol in marine sediment pore waters: Validation and implementation of three pretreatment techniques,10.1016/j.marchem.2014.01.011
http://info.deepcarbon.net/individual/a9b89dde-b443-4fbe-88b5-a4783a7b19e9,"Experimental determination of C, F, and H partitioning between mantle minerals and carbonated basalt, CO2/Ba and CO2/Nb systematics of partial melting, and the CO2 contents of basaltic source regions",10.1016/j.epsl.2014.11.044
http://info.deepcarbon.net/individual/3b44b105-d28d-446a-9f2c-7ef45d6f3c5a,Physicochemical conditions for melting in the Earth���s mantle containing a C���O���H fluid (from experimental data),10.1016/j.rgg.2011.04.001
http://info.deepcarbon.net/individual/de359ec58-44eb-4d56-921a-5efce71388ef,A plate tectonic mechanism for methane hydrate release along subduction zones,10.1016/j.epsl.2005.06.009
http://info.deepcarbon.net/individual/d3bd74c9a-c4c4-430e-aff2-832471359802,Bonding changes in compressed superhard graphite,10.1126/science.1089713
http://info.deepcarbon.net/individual/d46e94972-c2fd-4773-86a7-3329ef3e57bf,The phase diagram of CaCO(3) in relation to shock compression and decomposition,10.1016/S0031-9201(01)00268-0
